,year,bodyStyle,mileage,price,counts,ave_mile,ave_price
0,1990.0,Convertible,840787.0,121991.0,11,76435.18181818182,11090.09090909091
1,1990.0,Coupe,770704.0,360585.0,13,59284.92307692308,27737.30769230769
2,1990.0,Regular Cab Pickup,959654.0,80930.0,8,119956.75,10116.25
3,1990.0,SUV,1818411.0,138460.0,12,151534.25,11538.333333333334
4,1990.0,Sedan,856140.0,178009.0,10,85614.0,17800.9
5,1991.0,Convertible,1302818.0,287013.0,17,76636.35294117648,16883.117647058825
6,1991.0,Coupe,2497054.0,1217817.0,30,83235.13333333333,40593.9
7,1991.0,Regular Cab Pickup,1008372.0,24642.0,6,168062.0,4107.0
8,1991.0,Sedan,750863.0,105243.0,9,83429.22222222222,11693.666666666666
9,1992.0,Convertible,441124.0,77174.0,7,63017.71428571428,11024.857142857143
10,1992.0,Coupe,1717877.0,535767.0,19,90414.57894736843,28198.263157894737
11,1992.0,Regular Cab Pickup,919535.0,23469.0,5,183907.0,4693.8
12,1992.0,SUV,1565691.0,127385.0,13,120437.76923076923,9798.846153846154
13,1992.0,Sedan,1305685.0,53978.0,11,118698.63636363637,4907.090909090909
14,1993.0,Convertible,1102613.0,136874.0,12,91884.41666666667,11406.166666666666
15,1993.0,Coupe,1669319.0,452449.0,20,83465.95,22622.45
16,1993.0,Extended Cab Pickup,1139308.0,26455.0,6,189884.66666666666,4409.166666666667
17,1993.0,Regular Cab Pickup,1072251.0,114287.0,12,89354.25,9523.916666666666
18,1993.0,SUV,2134488.0,255615.0,13,164191.38461538462,19662.69230769231
19,1993.0,Sedan,1677338.0,95956.0,16,104833.625,5997.25
20,1994.0,Convertible,1235663.0,382870.0,20,61783.15,19143.5
21,1994.0,Coupe,2449433.0,495249.0,26,94208.96153846153,19048.03846153846
22,1994.0,Extended Cab Pickup,1042696.0,28642.0,6,173782.66666666666,4773.666666666667
23,1994.0,Regular Cab Pickup,1903005.0,47302.0,8,237875.625,5912.75
24,1994.0,SUV,2181255.0,184948.0,13,167788.84615384616,14226.76923076923
25,1994.0,Sedan,2301919.0,55910.0,14,164422.7857142857,3993.5714285714284
26,1995.0,Convertible,1211402.0,420819.0,18,67300.11111111111,23378.833333333332
27,1995.0,Coupe,3732435.0,846330.0,45,82943.0,18807.333333333332
28,1995.0,Extended Cab Pickup,1788208.0,56994.0,11,162564.36363636365,5181.272727272727
29,1995.0,Passenger Van,512165.0,19392.0,5,102433.0,3878.4
30,1995.0,Regular Cab Pickup,3200513.0,135292.0,20,160025.65,6764.6
31,1995.0,SUV,4732229.0,389300.0,32,147882.15625,12165.625
32,1995.0,Sedan,3781784.0,242301.0,31,121993.03225806452,7816.1612903225805
33,1996.0,Convertible,1587575.0,458501.0,22,72162.5,20840.954545454544
34,1996.0,Coupe,4141921.0,840922.0,42,98617.16666666667,20021.95238095238
35,1996.0,Extended Cab Pickup,1361595.0,84847.0,10,136159.5,8484.7
36,1996.0,Regular Cab Pickup,2828648.0,133355.0,20,141432.4,6667.75
37,1996.0,SUV,5684441.0,262869.0,35,162412.6,7510.542857142857
38,1996.0,Sedan,4568741.0,213056.0,37,123479.48648648648,5758.27027027027
39,1996.0,Wagon,770401.0,17688.0,5,154080.2,3537.6
40,1997.0,Convertible,2018805.0,334709.0,25,80752.2,13388.36
41,1997.0,Coupe,3404875.0,823113.0,38,89601.97368421052,21660.86842105263
42,1997.0,Extended Cab Pickup,4790101.0,156387.0,26,184234.65384615384,6014.884615384615
43,1997.0,Regular Cab Pickup,4698420.0,189561.0,31,151561.93548387097,6114.870967741936
44,1997.0,SUV,10642554.0,683503.0,70,152036.48571428572,9764.328571428572
45,1997.0,Sedan,6373421.0,161931.0,43,148219.09302325582,3765.8372093023254
46,1998.0,Convertible,3190490.0,709438.0,45,70899.77777777778,15765.288888888888
47,1998.0,Coupe,3856440.0,950055.0,38,101485.26315789473,25001.447368421053
48,1998.0,Crew Cab Pickup,2028792.0,89373.0,12,169066.0,7447.75
49,1998.0,Extended Cab Pickup,3559227.0,113471.0,22,161783.04545454544,5157.772727272727
50,1998.0,Regular Cab Pickup,2427403.0,53139.0,13,186723.3076923077,4087.6153846153848
51,1998.0,SUV,10615256.0,305919.0,63,168496.12698412698,4855.857142857143
52,1998.0,Sedan,7705694.0,199471.0,60,128428.23333333334,3324.516666666667
53,1999.0,Convertible,3728081.0,697446.0,52,71693.86538461539,13412.423076923076
54,1999.0,Coupe,5222298.0,990342.0,64,81598.40625,15474.09375
55,1999.0,Crew Cab Pickup,3455081.0,212972.0,22,157049.13636363635,9680.545454545454
56,1999.0,Extended Cab Pickup,11386351.0,372173.0,62,183650.82258064515,6002.790322580645
57,1999.0,Minivan,1000486.0,68665.0,7,142926.57142857142,9809.285714285714
58,1999.0,Passenger Van,824262.0,25882.0,6,137377.0,4313.666666666667
59,1999.0,Regular Cab Pickup,6471024.0,273425.0,39,165923.6923076923,7010.897435897436
60,1999.0,SUV,16406531.0,551839.0,101,162440.900990099,5463.752475247525
61,1999.0,Sedan,11711017.0,382286.0,95,123273.86315789474,4024.063157894737
62,1999.0,Wagon,1173735.0,24479.0,8,146716.875,3059.875
63,2000.0,Convertible,6634864.0,1094583.0,84,78986.47619047618,13030.75
64,2000.0,Coupe,6993813.0,1237890.0,82,85290.40243902439,15096.219512195123
65,2000.0,Crew Cab Pickup,5532149.0,269492.0,30,184404.96666666667,8983.066666666668
66,2000.0,Extended Cab Pickup,13322123.0,501614.0,80,166526.5375,6270.175
67,2000.0,Hatchback,1622254.0,48740.0,13,124788.76923076923,3749.230769230769
68,2000.0,Minivan,2235475.0,34765.0,15,149031.66666666666,2317.6666666666665
69,2000.0,Passenger Van,765587.0,40835.0,7,109369.57142857143,5833.571428571428
70,2000.0,Regular Cab Pickup,7743582.0,343406.0,53,146105.320754717,6479.358490566037
71,2000.0,SUV,26931377.0,1083133.0,160,168321.10625,6769.58125
72,2000.0,Sedan,19867613.0,673085.0,154,129010.47402597402,4370.681818181818
73,2000.0,Wagon,847249.0,30368.0,8,105906.125,3796.0
74,2001.0,Cargo Van,613892.0,14171.0,5,122778.4,2834.2
75,2001.0,Convertible,7859877.0,1656752.0,106,74149.78301886792,15629.735849056604
76,2001.0,Coupe,11681899.0,1803559.0,117,99845.2905982906,15415.034188034188
77,2001.0,Crew Cab Pickup,10742266.0,549113.0,62,173262.35483870967,8856.661290322581
78,2001.0,Extended Cab Pickup,13293573.0,565452.0,80,166169.6625,7068.15
79,2001.0,Hatchback,826235.0,21388.0,6,137705.83333333334,3564.6666666666665
80,2001.0,Minivan,2797843.0,108410.0,19,147254.8947368421,5705.789473684211
81,2001.0,Regular Cab Pickup,9859559.0,463977.0,63,156500.9365079365,7364.714285714285
82,2001.0,SUV,33221755.0,1425581.0,215,154519.7906976744,6630.609302325582
83,2001.0,Sedan,24964849.0,817247.0,184,135678.52717391305,4441.559782608696
84,2001.0,Wagon,2807202.0,69901.0,21,133676.2857142857,3328.6190476190477
85,2002.0,Cargo Van,673281.0,37871.0,6,112213.5,6311.833333333333
86,2002.0,Convertible,13231483.0,2134998.0,164,80679.7743902439,13018.280487804877
87,2002.0,Coupe,11528671.0,1862139.0,136,84769.63970588235,13692.198529411764
88,2002.0,Crew Cab Pickup,23741027.0,1500554.0,153,155170.11111111112,9807.54248366013
89,2002.0,Extended Cab Pickup,16137896.0,714802.0,100,161378.96,7148.02
90,2002.0,Hatchback,1962858.0,81404.0,18,109047.66666666667,4522.444444444444
91,2002.0,Minivan,5121381.0,134502.0,33,155193.36363636365,4075.818181818182
92,2002.0,Passenger Van,1252558.0,39044.0,8,156569.75,4880.5
93,2002.0,Regular Cab Pickup,10028255.0,523149.0,72,139281.31944444444,7265.958333333333
